ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
148	indv	10-rc	left	dlh0	classification	_None	randomforest	True	1000	None
149	indv	10-rc	left	dlh0	classification	_None	lr	True	100	None
150	indv	10-rc	left	dlh0	classification	_None	lr	True	200	None
151	indv	10-rc	left	dlh0	classification	_None	lr	True	500	None
152	indv	10-rc	left	dlh0	classification	_None	lr	True	1000	None
153	indv	10-rc	left	dlh0	classification	_downsample	randomforest	True	100	None
154	indv	10-rc	left	dlh0	classification	_downsample	randomforest	True	200	None
155	indv	10-rc	left	dlh0	classification	_downsample	randomforest	True	500	None
156	indv	10-rc	left	dlh0	classification	_downsample	randomforest	True	1000	None
157	indv	10-rc	left	dlh0	classification	_downsample	lr	True	100	None
158	indv	10-rc	left	dlh0	classification	_downsample	lr	True	200	None
159	indv	10-rc	left	dlh0	classification	_downsample	lr	True	500	None
160	indv	10-rc	left	dlh0	classification	_downsample	lr	True	1000	None
161	indv	10-rc	left	dlh0	classification	_smote	randomforest	True	100	None
162	indv	10-rc	left	dlh0	classification	_smote	randomforest	True	200	None
163	indv	10-rc	left	dlh0	classification	_smote	randomforest	True	500	None
164	indv	10-rc	left	dlh0	classification	_smote	randomforest	True	1000	None
165	indv	10-rc	left	dlh0	classification	_smote	lr	True	100	None
166	indv	10-rc	left	dlh0	classification	_smote	lr	True	200	None
167	indv	10-rc	left	dlh0	classification	_smote	lr	True	500	None
168	indv	10-rc	left	dlh0	classification	_smote	lr	True	1000	None
169	indv	10-rc	left	dlh1	classification	_None	randomforest	True	100	None
170	indv	10-rc	left	dlh1	classification	_None	randomforest	True	200	None
171	indv	10-rc	left	dlh1	classification	_None	randomforest	True	500	None
172	indv	10-rc	left	dlh1	classification	_None	randomforest	True	1000	None
173	indv	10-rc	left	dlh1	classification	_None	lr	True	100	None
174	indv	10-rc	left	dlh1	classification	_None	lr	True	200	None
175	indv	10-rc	left	dlh1	classification	_None	lr	True	500	None
176	indv	10-rc	left	dlh1	classification	_None	lr	True	1000	None
177	indv	10-rc	left	dlh1	classification	_downsample	randomforest	True	100	None
178	indv	10-rc	left	dlh1	classification	_downsample	randomforest	True	200	None
179	indv	10-rc	left	dlh1	classification	_downsample	randomforest	True	500	None
180	indv	10-rc	left	dlh1	classification	_downsample	randomforest	True	1000	None
181	indv	10-rc	left	dlh1	classification	_downsample	lr	True	100	None
182	indv	10-rc	left	dlh1	classification	_downsample	lr	True	200	None
183	indv	10-rc	left	dlh1	classification	_downsample	lr	True	500	None
184	indv	10-rc	left	dlh1	classification	_downsample	lr	True	1000	None
185	indv	10-rc	left	dlh1	classification	_smote	randomforest	True	100	None
186	indv	10-rc	left	dlh1	classification	_smote	randomforest	True	200	None
187	indv	10-rc	left	dlh1	classification	_smote	randomforest	True	500	None
188	indv	10-rc	left	dlh1	classification	_smote	randomforest	True	1000	None
189	indv	10-rc	left	dlh1	classification	_smote	lr	True	100	None
190	indv	10-rc	left	dlh1	classification	_smote	lr	True	200	None
191	indv	10-rc	left	dlh1	classification	_smote	lr	True	500	None
192	indv	10-rc	left	dlh1	classification	_smote	lr	True	1000	None
193	indv	10-rc	left	dlh2	classification	_None	randomforest	True	100	None
194	indv	10-rc	left	dlh2	classification	_None	randomforest	True	200	None
195	indv	10-rc	left	dlh2	classification	_None	randomforest	True	500	None
196	indv	10-rc	left	dlh2	classification	_None	randomforest	True	1000	None
197	indv	10-rc	left	dlh2	classification	_None	lr	True	100	None
198	indv	10-rc	left	dlh2	classification	_None	lr	True	200	None
199	indv	10-rc	left	dlh2	classification	_None	lr	True	500	None
200	indv	10-rc	left	dlh2	classification	_None	lr	True	1000	None
201	indv	10-rc	left	dlh2	classification	_downsample	randomforest	True	100	None
202	indv	10-rc	left	dlh2	classification	_downsample	randomforest	True	200	None
203	indv	10-rc	left	dlh2	classification	_downsample	randomforest	True	500	None
204	indv	10-rc	left	dlh2	classification	_downsample	randomforest	True	1000	None
205	indv	10-rc	left	dlh2	classification	_downsample	lr	True	100	None
206	indv	10-rc	left	dlh2	classification	_downsample	lr	True	200	None
207	indv	10-rc	left	dlh2	classification	_downsample	lr	True	500	None
208	indv	10-rc	left	dlh2	classification	_downsample	lr	True	1000	None
209	indv	10-rc	left	dlh2	classification	_smote	randomforest	True	100	None
210	indv	10-rc	left	dlh2	classification	_smote	randomforest	True	200	None
