ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
207	indv	22-ap	left	dlh1	classification	_smote	simplernn	True	1000	None
208	indv	22-ap	left	dlh2	classification	_None	lstm	True	1000	None
209	indv	22-ap	left	dlh2	classification	_None	ann	True	1000	None
210	indv	22-ap	left	dlh2	classification	_None	simplernn	True	1000	None
211	indv	22-ap	left	dlh2	classification	_downsample	lstm	True	1000	None
212	indv	22-ap	left	dlh2	classification	_downsample	ann	True	1000	None
213	indv	22-ap	left	dlh2	classification	_downsample	simplernn	True	1000	None
214	indv	22-ap	left	dlh2	classification	_smote	lstm	True	1000	None
215	indv	22-ap	left	dlh2	classification	_smote	ann	True	1000	None
216	indv	22-ap	left	dlh2	classification	_smote	simplernn	True	1000	None
217	indv	26-tc	left	dlh0	classification	_None	lstm	True	1000	None
218	indv	26-tc	left	dlh0	classification	_None	ann	True	1000	None
219	indv	26-tc	left	dlh0	classification	_None	simplernn	True	1000	None
220	indv	26-tc	left	dlh0	classification	_downsample	lstm	True	1000	None
221	indv	26-tc	left	dlh0	classification	_downsample	ann	True	1000	None
222	indv	26-tc	left	dlh0	classification	_downsample	simplernn	True	1000	None
223	indv	26-tc	left	dlh0	classification	_smote	lstm	True	1000	None
224	indv	26-tc	left	dlh0	classification	_smote	ann	True	1000	None
225	indv	26-tc	left	dlh0	classification	_smote	simplernn	True	1000	None
226	indv	26-tc	left	dlh1	classification	_None	lstm	True	1000	None
227	indv	26-tc	left	dlh1	classification	_None	ann	True	1000	None
228	indv	26-tc	left	dlh1	classification	_None	simplernn	True	1000	None
229	indv	26-tc	left	dlh1	classification	_downsample	lstm	True	1000	None
230	indv	26-tc	left	dlh1	classification	_downsample	ann	True	1000	None
231	indv	26-tc	left	dlh1	classification	_downsample	simplernn	True	1000	None
232	indv	26-tc	left	dlh1	classification	_smote	lstm	True	1000	None
233	indv	26-tc	left	dlh1	classification	_smote	ann	True	1000	None
234	indv	26-tc	left	dlh1	classification	_smote	simplernn	True	1000	None
235	indv	26-tc	left	dlh2	classification	_None	lstm	True	1000	None
236	indv	26-tc	left	dlh2	classification	_None	ann	True	1000	None
237	indv	26-tc	left	dlh2	classification	_None	simplernn	True	1000	None
238	indv	26-tc	left	dlh2	classification	_downsample	lstm	True	1000	None
239	indv	26-tc	left	dlh2	classification	_downsample	ann	True	1000	None
240	indv	26-tc	left	dlh2	classification	_downsample	simplernn	True	1000	None
241	indv	26-tc	left	dlh2	classification	_smote	lstm	True	1000	None
242	indv	26-tc	left	dlh2	classification	_smote	ann	True	1000	None
243	indv	26-tc	left	dlh2	classification	_smote	simplernn	True	1000	None
244	indv	31-ns	left	dlh0	classification	_None	lstm	True	1000	None
245	indv	31-ns	left	dlh0	classification	_None	ann	True	1000	None
246	indv	31-ns	left	dlh0	classification	_None	simplernn	True	1000	None
247	indv	31-ns	left	dlh0	classification	_downsample	lstm	True	1000	None
248	indv	31-ns	left	dlh0	classification	_downsample	ann	True	1000	None
249	indv	31-ns	left	dlh0	classification	_downsample	simplernn	True	1000	None
250	indv	31-ns	left	dlh0	classification	_smote	lstm	True	1000	None
251	indv	31-ns	left	dlh0	classification	_smote	ann	True	1000	None
252	indv	31-ns	left	dlh0	classification	_smote	simplernn	True	1000	None
253	indv	31-ns	left	dlh1	classification	_None	lstm	True	1000	None
254	indv	31-ns	left	dlh1	classification	_None	ann	True	1000	None
255	indv	31-ns	left	dlh1	classification	_None	simplernn	True	1000	None
256	indv	31-ns	left	dlh1	classification	_downsample	lstm	True	1000	None
257	indv	31-ns	left	dlh1	classification	_downsample	ann	True	1000	None
258	indv	31-ns	left	dlh1	classification	_downsample	simplernn	True	1000	None
259	indv	31-ns	left	dlh1	classification	_smote	lstm	True	1000	None
260	indv	31-ns	left	dlh1	classification	_smote	ann	True	1000	None
261	indv	31-ns	left	dlh1	classification	_smote	simplernn	True	1000	None
262	indv	31-ns	left	dlh2	classification	_None	lstm	True	1000	None
263	indv	31-ns	left	dlh2	classification	_None	ann	True	1000	None
264	indv	31-ns	left	dlh2	classification	_None	simplernn	True	1000	None
265	indv	31-ns	left	dlh2	classification	_downsample	lstm	True	1000	None
266	indv	31-ns	left	dlh2	classification	_downsample	ann	True	1000	None
267	indv	31-ns	left	dlh2	classification	_downsample	simplernn	True	1000	None
268	indv	31-ns	left	dlh2	classification	_smote	lstm	True	1000	None
269	indv	31-ns	left	dlh2	classification	_smote	ann	True	1000	None
270	indv	31-ns	left	dlh2	classification	_smote	simplernn	True	1000	None
271	indv	32-rf	left	dlh0	classification	_None	lstm	True	1000	None
272	indv	32-rf	left	dlh0	classification	_None	ann	True	1000	None
273	indv	32-rf	left	dlh0	classification	_None	simplernn	True	1000	None
274	indv	32-rf	left	dlh0	classification	_downsample	lstm	True	1000	None
275	indv	32-rf	left	dlh0	classification	_downsample	ann	True	1000	None
276	indv	32-rf	left	dlh0	classification	_downsample	simplernn	True	1000	None
277	indv	32-rf	left	dlh0	classification	_smote	lstm	True	1000	None
278	indv	32-rf	left	dlh0	classification	_smote	ann	True	1000	None
279	indv	32-rf	left	dlh0	classification	_smote	simplernn	True	1000	None
280	indv	32-rf	left	dlh1	classification	_None	lstm	True	1000	None
