ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
225	indv	31-ns	left	dlh0	classification	_downsample	sgd	True	1000	None
226	indv	31-ns	left	dlh1	classification	_smote	randomforest	True	1000	None
227	indv	31-ns	left	dlh1	classification	_smote	lr	True	1000	None
228	indv	31-ns	left	dlh1	classification	_smote	sgd	True	1000	None
229	indv	31-ns	left	dlh1	classification	_None	randomforest	True	1000	None
230	indv	31-ns	left	dlh1	classification	_None	lr	True	1000	None
231	indv	31-ns	left	dlh1	classification	_None	sgd	True	1000	None
232	indv	31-ns	left	dlh1	classification	_downsample	randomforest	True	1000	None
233	indv	31-ns	left	dlh1	classification	_downsample	lr	True	1000	None
234	indv	31-ns	left	dlh1	classification	_downsample	sgd	True	1000	None
235	indv	31-ns	left	dlh2	classification	_smote	randomforest	True	1000	None
236	indv	31-ns	left	dlh2	classification	_smote	lr	True	1000	None
237	indv	31-ns	left	dlh2	classification	_smote	sgd	True	1000	None
238	indv	31-ns	left	dlh2	classification	_None	randomforest	True	1000	None
239	indv	31-ns	left	dlh2	classification	_None	lr	True	1000	None
240	indv	31-ns	left	dlh2	classification	_None	sgd	True	1000	None
241	indv	31-ns	left	dlh2	classification	_downsample	randomforest	True	1000	None
242	indv	31-ns	left	dlh2	classification	_downsample	lr	True	1000	None
243	indv	31-ns	left	dlh2	classification	_downsample	sgd	True	1000	None
244	indv	32-rf	left	dlh0	classification	_smote	randomforest	True	1000	None
245	indv	32-rf	left	dlh0	classification	_smote	lr	True	1000	None
246	indv	32-rf	left	dlh0	classification	_smote	sgd	True	1000	None
247	indv	32-rf	left	dlh0	classification	_None	randomforest	True	1000	None
248	indv	32-rf	left	dlh0	classification	_None	lr	True	1000	None
249	indv	32-rf	left	dlh0	classification	_None	sgd	True	1000	None
250	indv	32-rf	left	dlh0	classification	_downsample	randomforest	True	1000	None
251	indv	32-rf	left	dlh0	classification	_downsample	lr	True	1000	None
252	indv	32-rf	left	dlh0	classification	_downsample	sgd	True	1000	None
253	indv	32-rf	left	dlh1	classification	_smote	randomforest	True	1000	None
254	indv	32-rf	left	dlh1	classification	_smote	lr	True	1000	None
255	indv	32-rf	left	dlh1	classification	_smote	sgd	True	1000	None
256	indv	32-rf	left	dlh1	classification	_None	randomforest	True	1000	None
257	indv	32-rf	left	dlh1	classification	_None	lr	True	1000	None
258	indv	32-rf	left	dlh1	classification	_None	sgd	True	1000	None
259	indv	32-rf	left	dlh1	classification	_downsample	randomforest	True	1000	None
260	indv	32-rf	left	dlh1	classification	_downsample	lr	True	1000	None
261	indv	32-rf	left	dlh1	classification	_downsample	sgd	True	1000	None
262	indv	32-rf	left	dlh2	classification	_smote	randomforest	True	1000	None
263	indv	32-rf	left	dlh2	classification	_smote	lr	True	1000	None
264	indv	32-rf	left	dlh2	classification	_smote	sgd	True	1000	None
265	indv	32-rf	left	dlh2	classification	_None	randomforest	True	1000	None
266	indv	32-rf	left	dlh2	classification	_None	lr	True	1000	None
267	indv	32-rf	left	dlh2	classification	_None	sgd	True	1000	None
268	indv	32-rf	left	dlh2	classification	_downsample	randomforest	True	1000	None
269	indv	32-rf	left	dlh2	classification	_downsample	lr	True	1000	None
270	indv	32-rf	left	dlh2	classification	_downsample	sgd	True	1000	None
271	indv	36-af	left	dlh0	classification	_smote	randomforest	True	1000	None
272	indv	36-af	left	dlh0	classification	_smote	lr	True	1000	None
273	indv	36-af	left	dlh0	classification	_smote	sgd	True	1000	None
274	indv	36-af	left	dlh0	classification	_None	randomforest	True	1000	None
275	indv	36-af	left	dlh0	classification	_None	lr	True	1000	None
276	indv	36-af	left	dlh0	classification	_None	sgd	True	1000	None
277	indv	36-af	left	dlh0	classification	_downsample	randomforest	True	1000	None
278	indv	36-af	left	dlh0	classification	_downsample	lr	True	1000	None
279	indv	36-af	left	dlh0	classification	_downsample	sgd	True	1000	None
280	indv	36-af	left	dlh1	classification	_smote	randomforest	True	1000	None
281	indv	36-af	left	dlh1	classification	_smote	lr	True	1000	None
282	indv	36-af	left	dlh1	classification	_smote	sgd	True	1000	None
283	indv	36-af	left	dlh1	classification	_None	randomforest	True	1000	None
284	indv	36-af	left	dlh1	classification	_None	lr	True	1000	None
285	indv	36-af	left	dlh1	classification	_None	sgd	True	1000	None
286	indv	36-af	left	dlh1	classification	_downsample	randomforest	True	1000	None
